feature_name,train-label=ALL,train-label=0,train-label=1,pvalue,test-label=ALL,test-label=0,test-label=1,pvalue
FT3,5.38±0.60,5.26±0.67,5.45±0.54,0.191459631961995,5.32±0.61,5.30±0.64,5.34±0.60,0.8245691298333762
FT4,16.07±2.44,16.38±2.35,15.86±2.50,0.3059592386953789,16.24±2.58,15.95±2.03,16.48±2.99,0.6194623769644153
TSH,1.74±0.95,1.81±1.06,1.70±0.87,0.7641402107462533,2.02±1.30,1.81±0.89,2.19±1.56,0.46890257312397143
TgAb,123.90±298.26,93.95±260.86,143.40±321.77,0.3670329513747932,119.96±280.16,86.43±217.93,148.33±325.33,0.6138472429441844
TPOAb,106.24±281.37,121.55±311.70,96.27±263.12,0.9782483473885885,160.11±352.77,143.52±348.68,174.15±362.47,0.3665280887845104
Tg,30.81±77.65,31.48±76.93,30.37±79.02,0.4002164704257838,14.42±15.47,13.30±14.01,15.37±16.83,0.8766704371211584
age,43.82±12.68,49.64±10.68,40.02±12.55,0.0013453909707946082,45.56±12.56,51.64±10.42,40.42±12.06,0.0013502064590049476
Hashimotodisease,,,,1.0,,,,1.0
0,55(77.46),22(78.57),33(76.74),,32(66.67),15(68.18),17(65.38),
1,16(22.54),6(21.43),10(23.26),,16(33.33),7(31.82),9(34.62),
gender,,,,0.08766004045843175,,,,0.4340005491818222
0,46(64.79),22(78.57),24(55.81),,31(64.58),16(72.73),15(57.69),
1,25(35.21),6(21.43),19(44.19),,17(35.42),6(27.27),11(42.31),
